RAM,typeRam,CPU_Modifier,CPU_Generation,STOCKAGEHDD,STOCKAGESSD,POIDS,PRIX,_Accent,_Acer,_Apple,_Asus,_Bluetooth,_DELL,_Fujitsu,_Hb,_Hp,_Infinix,_JEMCO,_Kingston,_Latitude,_Lenovo,_Medion,_Microsoft,_Mini,_Msi,_Razer,_Samsung,_Table,_Think,_Toshiba,,intel,amd,ryzen,_amd,_intel,_Intel HD Graphiques,_amd radeon graphique integré,_carte graphiques intégré,_intel hd 520,_intel hd 620,_intel hd graphics 4400,_intel hd graphics 5500,_intel iris xe,_intel uhd 600,COULEUR_blanc,COULEUR_bleu,COULEUR_gris,COULEUR_noir,COULEUR_noirgris,COULEUR_rose
4,1.0,3,4.0,0.0,0.0,242,1499.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,2.0,5,6.0,0.0,256.0,128,2490.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16,2.0,5,6.0,0.0,0.0,15,2899.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,1.0,5,4.0,500.0,0.0,2,1999.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
16,2.0,5,6.0,0.0,256.0,16,2599.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8,1.0,5,4.0,500.0,0.0,2,1775.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8,2.0,5,6.0,0.0,0.0,29,2799.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4,1.0,5,4.0,0.0,128.0,16,2379.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
8,2.0,5,6.0,0.0,256.0,2,2450.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8,1.0,5,4.0,0.0,0.0,16,2549.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
