MARK,RAM,typeRam,CPU_Brand,CPU_Modifier,CPU_Generation,GPU,STOCKAGEHDD,STOCKAGESSD,TypeStockage,Stockage,COULEUR,POIDS,ECRAN,PRIX,RATE
Lenovo,,,,,,,,,,,gris,1,"6""",175.00 Dhs,4.3 out of 5
DELL,4go,ddr3,intel,i3,4,:intelhdgraphicsfamily,,,,,noir,2.42,15pouce,"1,499.00 Dhs",4.5 out of 5
Hp,16gb,ddr4,intel,i5,6,.intelhdgraphics520,,,,,gris,1.5,,"2,899.00 Dhs",4 out of 5
Hp,1,ddr4,intel,i5,6,.intelhdgraphics520,,256.0,ssd,,gris,1.28,,"2,490.00 Dhs",3.6 out of 5
Hp,4go,,intel,i3,,,,,,500.0,,1,6pouce,"3,329.00 Dhs",0 out of 5
Accent,2go,,intel,,,,,,,32.0,noir,1,"1""","1,999.00 Dhs",0 out of 5
Bluetooth,,,,,,,,,,,rose,0.6,,189.00 Dhs,5 out of 5
Hp,8go,ddr4,,i3,6,,,256.0,ssd,256.0,noir,2,14pouce,"1,950.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i5,4,,,,,500.0,noir,2,"14""","1,999.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i3,4,,,256.0,ssd,7200000.0,noir,2,"14""","2,149.00 Dhs",4 out of 5
Hp,16go,ddr4,intel,i5,6,:intelhdgraphics520,,256.0,ssd,,argentnoir,1.6,,"2,599.00 Dhs",0 out of 5
Hp,8go,,intel,i5,,,,256.0,hdd,,,1,,"5,749.00 Dhs",0 out of 5
Accent,4go,,intel,,4,,,,,64.0,noir,1,"1""","2,299.00 Dhs",0 out of 5
Hp,3,ddr3,intel,i5,4,,,,,500.0,noiretargent,2,"14""","1,775.00 Dhs",5 out of 5
Hp,8go,,intel,i3,,,,256.0,ssd,,,1,6pouce,"4,559.00 Dhs",5 out of 5
Hp,16go,,intel,i7,,,,512.0,ssd,,,1,14pouce,"9,649.00 Dhs",0 out of 5
Hp,8gb,ddr4,intel,i5,6,.intelhdgraphics520,,,,,gris,2.9,,"2,799.00 Dhs",4.5 out of 5
DELL,3,ddr3,intel,i5,4,:intelhdgraphics4400,,128.0,ssd,,noiretargent,1.6,"5""","2,379.00 Dhs",0 out of 5
Think,8go,ddr4,intel,i5,6,:intel®hdgraphics520,,256.0,ssd,,noir,2,"14""","2,450.00 Dhs",0 out of 5
