ECRAN,RAM,POIDS,PRIX,STOCKAGESSD,STOCKAGEHDD,STOCKAGEFlash,_Acer,_Apple,_Asus,_Dell,_HP,_Lenovo,_MSI,_Toshiba,CPU_Modifier,CPU_Generation,CPU_AMD,CPU_Intel,Grapihque_AMD Graphique,Grapihque_Intel HD Graphics,Grapihque_Intel HD Graphics 400,Grapihque_Intel HD Graphics 520,Grapihque_Intel HD Graphics 530,Grapihque_Intel HD Graphics 620,Grapihque_Intel Iris,Grapihque_Nvidia  GTX,Grapihque_Nvidia  M,Grapihque_Nvidia  MX,Grapihque_Nvidia GeForce 920,_DELL,_Hp,ryzen,Grapihque_Intel HD Graphiques,Grapihque_Intel UHD Graphics 620,Grapihque_Nvidia  Quadro,Grapihque_carte graphiques intégré
13.3,8,1.3700000047683716,8565.441984,128.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0,1,0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.3,8,1.340000033378601,5747.462784,0.0,0.0,128.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0,1,0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.6,8,1.8600000143051147,3676.3199999999997,256.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,5,7.0,0,1,0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.4,16,1.8300000429153442,16223.440319999998,512.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,7,0.0,0,1,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.3,8,1.3700000047683716,11531.49696,256.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0,1,0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.6,4,2.0999999046325684,2557.44,0.0,500.0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1,0,1,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.4,16,2.0399999618530273,13682.112191999999,0.0,0.0,256.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,7,0.0,0,1,0,0.0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.3,8,1.340000033378601,7408.264319999999,0.0,0.0,256.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0,1,0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,16,1.2999999523162842,9558.431999999999,512.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,7,8.0,0,1,0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,8,1.600000023841858,4923.071999999999,256.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,5,8.0,0,1,0,0.0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
