MARK,RAM,typeRam,CPU_Brand,CPU_Modifier,CPU_Generation,GPU,STOCKAGEHDD,STOCKAGESSD,TypeStockage,Stockage,COULEUR,POIDS,ECRAN,PRIX,RATE
Lenovo,,,,,,,,,,,gris,1,"6""",175.00 Dhs,4.3 out of 5
DELL,4go,ddr3,intel,i3,4.0, : intel hd graphics family,,,,,noir,2.42,15pouce,"1,499.00 Dhs",4.5 out of 5
Hp,8gb,ddr4,intel,i5,6.0,. intel hd graphics 520,,256.0,ssd,,gris,1.28,,"2,490.00 Dhs",3.7 out of 5
Hp,4go,,,,,,,,,500.0,,1,6pouce,"3,329.00 Dhs",0 out of 5
Hp,16gb,ddr4,intel,i5,6.0,. intel hd graphics 520,,,,,gris,1.5,,"2,899.00 Dhs",4 out of 5
Accent,2go,,,,,,,,,32.0,noir,1,"1""","1,999.00 Dhs",0 out of 5
Bluetooth,,,,,,,,,,,rose,0.6,,189.00 Dhs,5 out of 5
Hp,8go,ddr4,,,,,,256.0,ssd,256.0,noir,2,14pouce,"1,950.00 Dhs",0 out of 5
Hp,8go,ddr3,intel,i5,4.0,contrôleur graphique	intel hd graphics 4600 (intégré au processeur),,,,500.0,noir,2,"14""","1,999.00 Dhs",0 out of 5
Hp,8go,ddr3,intel,i3,4.0,contrôleur graphique	intel hd graphics 4600 (intégré au processeur),,256.0,ssd,7200000.0,noir,2,"14""","2,149.00 Dhs",4 out of 5
Hp,16go,ddr4,intel,i5,6.0,contrôleur graphique : intel hd graphics 520,,256.0,ssd,,argentnoir,1.6,,"2,599.00 Dhs",0 out of 5
Hp,8go,,,,,,,256.0,hdd,,,1,,"5,749.00 Dhs",0 out of 5
Accent,4go,,intel,,4.0,,,,,64.0,noir,1,"1""","2,299.00 Dhs",0 out of 5
Hp,8go,ddr3,intel,i5,4.0,contrôleur graphique	intel hd graphics 4600 (intégré au processeur),,,,500.0,noiretargent,2,"14""","1,775.00 Dhs",5 out of 5
Hp,8go,,,,,,,256.0,ssd,,,1,6pouce,"4,559.00 Dhs",5 out of 5
Hp,16go,,,,,,,512.0,ssd,,,1,14pouce,"9,649.00 Dhs",0 out of 5
Hp,8gb,ddr4,intel,i5,6.0,. intel hd graphics 520,,,,,gris,2.9,,"2,799.00 Dhs",4.7 out of 5
DELL,4go,ddr3,intel,i5,4.0,contrôleur graphique: intel hd graphics 4400,,128.0,ssd,,noiretargent,1.6,"5""","2,379.00 Dhs",0 out of 5
Think,8go,ddr4,intel,i5,6.0,carte graphique : intel® hd graphics 520,,256.0,ssd,,noir,2,"14""","2,450.00 Dhs",0 out of 5
DELL,8go,ddr3,intel,i5,4.0,contrôleur graphique: intel hd graphics 4400,,,,,noiretargent,1.6,"5""","2,549.00 Dhs",0 out of 5
Acer,4gb,ddr4,intel,i5,5.0,,,,,,noir,3,,"5,690.00 Dhs",5 out of 5
DELL,16go,ddr3,intel,i5,5.0,nombre d'affichages pris en charge par la carte graphique intégrée	:   3,,,hdd,7200000.0,noir,1.81,6cm,"2,499.00 Dhs",4 out of 5
Hp,00go,ddr3,intel,i5,5.0,carte graphique :  intel hd graphics,,32.0,ssd,,noir,1.5,"14""","2,099.00 Dhs",3.5 out of 5
Hp,8go,ddr3,intel,i5,4.0,contrôleur graphique	intel hd graphics 4600 (intégré au processeur),,,,500.0,noiretargent,2,"14""","1,745.00 Dhs",4 out of 5
Hp,16gb,ddr4,intel,i5,6.0,. intel hd graphics 520,,,,,gris,1.5,,"2,900.00 Dhs",0 out of 5
Hp,16go,ddr3,intel,i3,4.0,contrôleur graphique	intel hd graphics 4600 (intégré au processeur),,,,1000.0,noiretargent,2,"14""","2,145.00 Dhs",0 out of 5
Hp,4go,ddr4,intel,i3,6.0, :  intel hd 520,,,,,noir,2,,"1,912.00 Dhs",5 out of 5
Hp,00go,ddr3,intel,i5,5.0,carte graphique :  intel hd graphics,,32.0,ssd,,noir,1.5,"14""","2,349.00 Dhs",3.8 out of 5
Hp,8go,ddr3,intel,i5,5.0,id de la carte graphique intégrée	  :   0x1616,,,hdd,500.0,noir,1.6,8cm,"1,999.00 Dhs",5 out of 5
Hp,8go,ddr4,amd,5,5.0,"microprocesseur : processeur amd ryzen™ 5 4500u avec carte graphique radeon™ vega 8 (2,1 ghz de fréquence de base, jusqu’à 3,7 ghz de fréquence de rafale, 6 mo de mémoire cache, 4 cœurs)",,2512.0,ssd,,noir,4,,"7,955.00 Dhs",4.4 out of 5
Hp,4go,ddr4,ryzen,5,5.0,,,,,,grisfoncé,1.75,"6""","5,395.00 Dhs",0 out of 5
Mini,30,,,,,,,,,,noir,0.136,,239.00 Dhs,0 out of 5
Hp,16go,ddr4,,,,: intel uhd 520,,256.0,ssd,,argentetnoir,1.48,,"5,999.00 Dhs",4 out of 5
Hp,8go,ddr4,intel,i5,7.0,fréquence dynamique (max) de carte graphique intégrée : 1150 mhz,,512.0,ssd,512.0,gris,1.4,8cm,"4,695.00 Dhs",4 out of 5
Hp,4go,ddr4,intel,i3,6.0, :  intel hd 520,,,,,noir,2,,"1,912.00 Dhs",3.9 out of 5
Hp,8gb,ddr4,intel,i5,6.0,. intel hd graphics 520,,256.0,ssd,,gris,,,"2,520.00 Dhs",3.7 out of 5
Hp,8go,ddr3,intel,i3,4.0,contrôleur graphique	intel hd graphics 4600 (intégré au processeur),,,,7200000.0,noiretargent,2,"14""","1,745.00 Dhs",0 out of 5
Hp,8go,ddr3,intel,i3,4.0,contrôleur graphique	intel hd graphics 4600 (intégré au processeur),,256.0,ssd,7200000.0,noiretargent,2,"14""","1,745.00 Dhs",0 out of 5
Hp,00go,ddr3,intel,i5,5.0,carte graphique :  intel hd graphics 5500,,32.0,ssd,,,1,"14""","2,199.00 Dhs",4.8 out of 5
Hp,8go,ddr3,intel,i5,5.0,carte graphique :  intel hd graphics,,32.0,ssd,500.0,,2,"14""","2,099.00 Dhs",0 out of 5
Lenovo,8go,,intel,i3,4.0,,,256.0,ssd,,noir,1.5,,"1,599.00 Dhs",0 out of 5
Hp,8go,ddr4,intel,i7,6.0,,,256.0,ssd,,gris,1.6,"0""","3,300.00 Dhs",0 out of 5
Hp,4go,ddr4,ryzen,5,5.0,,,,,,grisfoncé,1.75,"6""","6,990.00 Dhs",4 out of 5
DELL,4go,ddr3,intel,i3,4.0, : intel hd graphics family,,,,,noir,2.42,6pouce,"1,599.00 Dhs",0 out of 5
Lenovo,8go,,,,,,,,ssd,,noir,1.5,,"4,200.00 Dhs",0 out of 5
