Ville,Prix,Surface,Nombre De Pièces,Nombre De Chambres,Nombre De Salles De Bain,Etat De Location,Age De Location,Nombre D’Étages,Orientation,Jardin,Terrasse,Garage,Ascenseur,Piscine,Concierge,Meublé,Salon Marocain,Salon européen,Climatisation,Sécurité,Cuisine équipée,Réfrigérateur,Four,TV,Machine à laver,Micro-ondes,Animaux domestiques autorisés,Type du sol
salé,17 200 DH,220m²,6 Pièces,3 Chambres,4 Salles de bains,Bon état,Nan,4èmeétage,Nan,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Nan,"
 Marbre"
salé,11 000 DH,90m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,Nan,Nan,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,"
 Marbre"
salé,5 300 DH,30m²,1 Pièce,1 Chambre,1 Salle de bain,Bon état,1-5 ans,1erétage,Nan,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Nan,Nan
salé,20 000 DH,258m²,4 Pièces,4 Chambres,2 Salles de bains,Bon état,Nan,Nan,Nan,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Nan,Nan
salé,25 000 DH,258m²,4 Pièces,4 Chambres,2 Salles de bains,Bon état,Nan,Nan,Nan,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Nan,Nan
salé,Nan,131m²,4 Pièces,3 Chambres,3 Salles de bains,Nouveau,Nan,Nan,Nan,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Nan,Nan
salé,17 000 DH,100m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,10-20 ans,Nan,"
 Sud",Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Nan,Nan
salé,20 000 DH,171m²,5 Pièces,3 Chambres,3 Salles de bains,Bon état,5-10 ans,1erétage,"
 Sud",Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Nan,"
 Parquet"
salé,14 000 DH,96m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,1-5 ans,1erétage,"
 Ouest",Non,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Nan,"
 Parquet"
salé,11 500 DH,85m²,4 Pièces,2 Chambres,2 Salles de bains,Nouveau,Nan,Nan,Nan,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Nan,Nan
salé,6 000 DH,50m²,2 Pièces,1 Chambre,2 Salles de bains,Nouveau,1-5 ans,Nan,Nan,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Nan,Nan
salé,21 000 DH,250m²,5 Pièces,3 Chambres,3 Salles de bains,Nouveau,1-5 ans,2èmeétage,"
 Ouest",Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Non,Nan,"
 Marbre"
salé,12 000 DH,100m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,1-5 ans,7èmeétage,"
 Sud",Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,"
 Marbre"
