Ville,Prix,Type De Bien,Surface,Nombre De Pièces,Nombre De Chambres,Nombre De Salles De Bain,Etat De Location,Age De Location,Nombre D’Étages,Orientation,Jardin,Terrasse,Garage,Ascenseur,Piscine,Concierge,Meublé,Salon Marocain,Salon européen,Climatisation,Sécurité,Cuisine équipée,Réfrigérateur,Four,TV,Machine à laver,Micro-ondes,Animaux domestiques autorisés,Type du sol,Cheminée,Antenne parabolique
dar-bouazza,7 800 000 DH,Appartement,700m²,5 Pièces,4 Chambres,5 Salles de bains,Bon état,Nan,Nan,Nan,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Nan,Non,Non
dar-bouazza,18 500 DH,Appartement,200m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,Moins d'un an,Nan,"
 Sud",Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,"
 Parquet",Oui,Non
dar-bouazza,16 000 DH,Appartement,220m²,3 Pièces,4 Chambres,3 Salles de bains,Bon état,Nan,Nan,Nan,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Nan,Non,Non
dar-bouazza,7 500 DH,Appartement,80m²,2 Pièces,2 Chambres,1 Salle de bain,Bon état,Nan,Nan,Nan,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Nan,Non,Non
dar-bouazza,3 800 DH,Appartement,68m²,2 Pièces,1 Chambre,1 Salle de bain,Bon état,Nan,Nan,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
dar-bouazza,8 500 DH,Appartement,140m²,4 Pièces,3 Chambres,3 Salles de bains,Bon état,Nan,Nan,Nan,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Nan,Oui,Non
dar-bouazza,8 900 DH,Appartement,121m²,4 Pièces,2 Chambres,2 Salles de bains,Bon état,1-5 ans,4èmeétage,"
 Sud",Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,"
 Marbre",Non,Non
dar-bouazza,6 000 DH,Appartement,90m²,3 Pièces,2 Chambres,1 Salle de bain,Bon état,1-5 ans,1erétage,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
dar-bouazza,15 900 DH,Appartement,180m²,4 Pièces,3 Chambres,2 Salles de bains,Bon état,1-5 ans,1erétage,"
 Sud",Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Nan,Non,Non
dar-bouazza,8 500 DH,Appartement,115m²,4 Pièces,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,1erétage,"
 Sud",Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,"
 Marbre",Oui,Non
