,prix,surface,nombre de pièces,nombre de chambres,nombre salles de bain,état de location,age de location,nombre détages
0,7 000 DH,96m²,3 Pièces,1 Chambre,2 Salles de bains,Nouveau,"96
					m²",3 Pièces
1,15 000 DH,160m²,4 Pièces,2 Chambres,2 Salles de bains,Bon état,1-5 ans,2èmeétage
2,4 500 DH,70m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,1-5 ans,2èmeétage
3,15 000 DH,150m²,6 Pièces,3 Chambres,2 Salles de bains,Nouveau,Moins d'un an,1erétage
4,4 000 DH,79m²,4 Pièces,2 Chambres,2 Salles de bains,Nouveau,1-5 ans,3èmeétage
5,6 500 DH,80m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,"3ème
					étage",80m²
6,7 000 DH,120m²,4 Pièces,3 Chambres,2 Salles de bains,Bon état,"2ème
					étage",120m²
7,15 000 DH,160m²,6 Pièces,2 Chambres,2 Salles de bains,Nouveau,5-10 ans,160m²
8,12 500 DH,100m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,"2ème
					étage",100m²
9,40 003 DH,56m²,3 Pièces,2 Chambres,1 Salle de bain,Bon état,1-5 ans,1erétage
10,2 900 DH,70m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,"70
					m²",3 Pièces
11,12 000 DH,126m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,"126
					m²",3 Pièces
12,20 000 DH,310m²,8 Pièces,4 Chambres,3 Salles de bains,Bon état,"310
					m²",8 Pièces
13,3 250 DH,98m²,2 Pièces,2 Chambres,1 Salle de bain,Bon état,10-20 ans,4èmeétage
14,7 000 DH,50m²,2 Pièces,1 Chambre,1 Salle de bain,Bon état,5-10 ans,50m²
15,7 000 DH,2 Pièces,1 Chambre,2 Salles de bains,Bon état,2 Pièces,1 Chambre,2 Salles de bains
16,2 700 DH,60m²,1 Pièce,2 Chambres,1 Salle de bain,Bon état,1-5 ans,60m²
17,13 500 DH,90m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,1-5 ans,90m²
18,1 500 DH,100m²,1 Pièce,1 Chambre,2 Salles de bains,Bon état,20-30 ans,1erétage
19,2 600 DH,61m²,1 Pièce,2 Chambres,1 Salle de bain,Bon état,10-20 ans,1erétage
20,4 500 DH,70m²,1 Pièce,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,3èmeétage
21,3 000 DH,55m²,3 Pièces,2 Chambres,1 Salle de bain,Bon état,1-5 ans,3èmeétage
22,2 800 DH,100m²,4 Pièces,2 Chambres,1 Salle de bain,Nouveau,1-5 ans,2èmeétage
23,5 500 DH,119m²,1 Pièce,3 Chambres,2 Salles de bains,Nouveau,1-5 ans,2èmeétage
24,8 200 DH,90m²,2 Pièces,3 Chambres,2 Salles de bains,Bon état,1-5 ans,90m²
25,3 700 DH,96m²,2 Pièces,2 Chambres,2 Salles de bains,Bon état,5-10 ans,96m²
26,25 000 DH,196m²,6 Pièces,3 Chambres,2 Salles de bains,Bon état,"196
					m²",6 Pièces
27,14 500 DH,163m²,4 Pièces,2 Chambres,"4ème
					étage","163
					m²",4 Pièces,2 Chambres
28,5 300 DH,35m²,1 Pièce,1 Chambre,1 Salle de bain,Bon état,5-10 ans,3èmeétage
29,3 900 DH,69m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,1-5 ans,69m²
30,13 000 DH,140m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,1-5 ans,1erétage
31,7 800 DH,113m²,2 Pièces,3 Chambres,3 Salles de bains,Nouveau,1-5 ans,3èmeétage
32,4 200 DH,50m²,2 Pièces,2 Chambres,1 Salle de bain,Bon état,"50
					m²",2 Pièces
