Prix,Type De Bien,Surface,Nombre De Pièces,Nombre De Chambres,Nombre De Salles De Bain,Etat De Location,Étage,Jardin,Terrasse,Garage,Ascenseur,Piscine,Concierge,Meublé,Salon Marocain,Salon européen,Climatisation,Sécurité,Cuisine équipée,Réfrigérateur,Four,TV,Micro-ondes,Animaux domestiques autorisés,Cheminée,Ville_agadir,Ville_bouskoura,Ville_casablanca,Ville_dar-bouazza,Ville_kénitra,Ville_marrakech,Ville_mohammedia,Ville_rabat,Ville_salé,Ville_tanger
4800.0,1,75.0,1.0,2.0,2.0,2.0,2,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
600.0,1,111.0,2.0,2.0,2.0,2.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4000.0,1,75.0,1.0,2.0,2.0,2.0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
4000.0,1,65.0,1.0,1.0,1.0,2.0,6,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
4700.0,1,85.0,3.0,2.0,1.0,2.0,6,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
400.0,1,85.0,1.0,1.0,1.0,2.0,6,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
5000.0,1,86.0,3.0,2.0,2.0,1.0,3,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3700.0,1,80.0,1.0,2.0,2.0,2.0,3,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8500.0,1,75.0,1.0,1.0,1.0,2.0,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4300.0,1,81.0,2.0,2.0,2.0,2.0,4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
200.0,1,75.0,3.0,2.0,1.0,2.0,2,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5500.0,1,130.0,1.0,2.0,2.0,2.0,2,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15000.0,0,82.0,10.0,4.0,3.0,2.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3700.0,1,69.0,3.0,2.0,1.0,1.0,2,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8000.0,1,78.0,3.0,2.0,2.0,2.0,3,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2700.0,1,66.0,1.0,2.0,1.0,1.0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
15000.0,1,100.0,3.0,2.0,2.0,1.0,3,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9000.0,1,92.0,3.0,2.0,2.0,1.0,3,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
3500.0,1,70.0,5.0,2.0,1.0,2.0,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
9500.0,1,135.0,5.0,2.0,1.0,1.0,2,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5000.0,1,86.0,1.0,3.0,2.0,1.0,2,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
5200.0,1,74.0,3.0,2.0,2.0,1.0,2,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
6800.0,1,100.0,4.0,2.0,2.0,1.0,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
8000.0,1,105.0,7.0,2.0,2.0,1.0,3,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3200.0,1,75.0,1.0,2.0,2.0,2.0,2,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
6000.0,1,110.0,3.0,2.0,2.0,1.0,3,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
15000.0,1,180.0,4.0,3.0,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
250.0,1,80.0,1.0,2.0,2.0,2.0,3,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
5000.0,1,87.0,2.0,2.0,2.0,1.0,5,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
5500.0,1,90.0,4.0,3.0,2.0,2.0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12000.0,1,134.0,4.0,3.0,2.0,1.0,2,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
350.0,1,50.0,1.0,2.0,1.0,1.0,2,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
200.0,1,75.0,3.0,3.0,1.0,1.0,2,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6000.0,1,150.0,4.0,3.0,3.0,1.0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4500.0,1,60.0,2.0,1.0,1.0,1.0,3,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
6000.0,1,70.0,2.0,1.0,1.0,2.0,5,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
8100.0,1,125.0,3.0,2.0,2.0,1.0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8500.0,1,145.0,4.0,3.0,2.0,1.0,6,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5000.0,1,88.0,3.0,2.0,1.0,2.0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
12000.0,1,220.0,4.0,3.0,2.0,2.0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4000.0,0,80.0,3.0,2.0,1.0,1.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15000.0,1,140.0,4.0,3.0,2.0,2.0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
8300.0,1,130.0,4.0,3.0,2.0,1.0,3,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3500.0,1,70.0,2.0,2.0,1.0,2.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3500.0,1,70.0,3.0,3.0,2.0,1.0,3,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3500.0,1,55.0,1.0,2.0,1.0,1.0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5500.0,1,125.0,3.0,2.0,2.0,1.0,3,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5000.0,1,60.0,1.0,3.0,1.0,2.0,3,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
2800.0,1,65.0,2.0,1.0,1.0,1.0,3,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
200.0,1,60.0,3.0,2.0,1.0,2.0,3,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7000.0,1,92.0,3.0,2.0,2.0,1.0,3,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7000.0,1,65.0,2.0,1.0,1.0,1.0,3,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
5500.0,1,70.0,3.0,2.0,2.0,2.0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10000.0,1,80.0,3.0,2.0,2.0,1.0,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2750.0,1,63.0,2.0,2.0,2.0,2.0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3700.0,1,70.0,3.0,2.0,2.0,1.0,3,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
3300.0,1,70.0,1.0,2.0,2.0,1.0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10000.0,1,85.0,3.0,2.0,1.0,1.0,3,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3500.0,1,70.0,1.0,2.0,2.0,1.0,3,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
8000.0,0,125.0,2.0,3.0,2.0,1.0,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
4500.0,1,68.0,1.0,2.0,1.0,1.0,2,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
4200.0,1,65.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
15000.0,1,71.0,4.0,1.0,1.0,2.0,4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3500.0,1,60.0,3.0,2.0,2.0,2.0,2,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7000.0,1,140.0,3.0,2.0,2.0,1.0,3,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7000.0,1,100.0,3.0,2.0,2.0,1.0,3,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11000.0,1,140.0,3.0,2.0,1.0,1.0,3,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9000.0,0,220.0,3.0,2.0,2.0,2.0,3,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
7000.0,1,110.0,3.0,2.0,1.0,1.0,4,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6500.0,1,113.0,4.0,2.0,2.0,2.0,2,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6000.0,1,84.0,2.0,3.0,3.0,1.0,2,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
350.0,1,60.0,1.0,2.0,1.0,2.0,3,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3200.0,1,65.0,2.0,2.0,1.0,2.0,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200.0,0,100.0,4.0,3.0,1.0,1.0,2,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5500.0,1,130.0,6.0,3.0,2.0,1.0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6000.0,1,86.0,4.0,2.0,2.0,1.0,3,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
8000.0,1,180.0,5.0,4.0,2.0,1.0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200.0,1,80.0,3.0,3.0,1.0,2.0,2,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
4500.0,1,74.0,3.0,2.0,2.0,2.0,3,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3500.0,1,68.0,3.0,2.0,2.0,1.0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4000.0,1,101.0,4.0,3.0,2.0,2.0,4,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4500.0,1,100.0,3.0,2.0,2.0,1.0,3,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4500.0,1,140.0,8.0,3.0,2.0,2.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3500.0,1,100.0,3.0,3.0,1.0,1.0,3,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5000.0,1,74.0,4.0,2.0,2.0,2.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7000.0,1,110.0,3.0,2.0,2.0,1.0,9,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10000.0,1,180.0,4.0,3.0,2.0,1.0,3,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5000.0,1,75.0,3.0,2.0,1.0,2.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3000.0,0,80.0,2.0,2.0,1.0,1.0,2,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
4500.0,1,74.0,4.0,2.0,1.0,1.0,2,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
4500.0,1,60.0,2.0,1.0,1.0,1.0,4,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4500.0,1,116.0,3.0,2.0,2.0,1.0,3,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3500.0,1,60.0,3.0,1.0,1.0,1.0,4,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6600.0,1,50.0,1.0,1.0,1.0,2.0,3,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
700.0,1,70.0,3.0,2.0,2.0,1.0,4,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
4500.0,1,117.0,4.0,3.0,2.0,1.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3500.0,1,64.0,2.0,1.0,1.0,2.0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
4500.0,1,59.0,2.0,2.0,1.0,2.0,4,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
9000.0,1,86.0,2.0,2.0,1.0,2.0,3,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
3000.0,1,60.0,3.0,3.0,1.0,2.0,4,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
5500.0,1,120.0,4.0,3.0,1.0,1.0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
5500.0,1,80.0,1.0,2.0,1.0,1.0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
2900.0,0,55.0,3.0,3.0,1.0,2.0,3,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8000.0,1,130.0,4.0,3.0,2.0,2.0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14000.0,1,100.0,3.0,2.0,2.0,2.0,4,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4000.0,1,60.0,3.0,2.0,1.0,1.0,4,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
9000.0,1,90.0,3.0,2.0,1.0,2.0,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
850.0,1,125.0,2.0,1.0,2.0,2.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
3500.0,1,70.0,3.0,1.0,2.0,2.0,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
